product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
Horlicks Lite No Added Sugar Powder - Regular Malt Flavour 450 gm (Jar),Mfr: Gsk Consumer Healthcare,https://www.netmeds.com/images/product-v1/150x150/12817/horlicks_lite_no_added_sugar_powder_regular_malt_flavour_450_gm_jar_0.jpg,https://www.netmeds.com/non-prescriptions/horlicks-lite-regular-malt-450g-jar,Rs. 298.00,None,None,True
Carboload 150 gm,Mfr: Hexagon Nutrition Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/826506/carboload_150_gm_0.jpg,https://www.netmeds.com/non-prescriptions/carboload-150-gm,Rs. 303.63,Rs. 349.00,13% OFF,True
Sri Sri Tattva Honey 500 gm,Mfr: Sriveda Sattva Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/824335/sri_sri_tattva_honey_500_gm_0.jpg,https://www.netmeds.com/non-prescriptions/srisri-tattva-honey-500-gm,Rs. 237.50,Rs. 250.00,5% OFF,True
Curegarden Dha 40-90 Softgels,Mfr: Livlong Nutraceuticals Ltd,https://www.netmeds.com/images/product-v1/150x150/409606/curegarden_dha_40_90_softgels_0.jpg,https://www.netmeds.com/non-prescriptions/curegarden-dha-40-90-softgels,Rs. 827.00,None,None,True
Snec30 Curcumin Capsules 15's,Mfr: Arbro Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/884749/snec30_curcumin_capsules_15s_0_1.jpg,https://www.netmeds.com/non-prescriptions/snec30-curcumin-capsules-15-s,Rs. 313.50,Rs. 330.00,5% OFF,True
Curegarden Omega Flax Softgels 90's,Mfr: Livlong Nutraceuticals Ltd,https://www.netmeds.com/images/product-v1/150x150/409604/curegarden_omega_flax_softgels_90_s_0.jpg,https://www.netmeds.com/non-prescriptions/curegarden-omega-flax-softgels-90-s,Rs. 594.00,Rs. 675.00,12% OFF,True
Snec30 Curcumin Capsules 120's,Mfr: Arbro Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/884751/snec30_curcumin_capsules_120s_0_1.jpg,https://www.netmeds.com/non-prescriptions/snec30-curcumin-capsules-120-s,"Rs. 2,508.00","Rs. 2,640.00",5% OFF,True
Curegarden Omega 3 50 Softgels 60's,Mfr: Livlong Nutraceuticals Ltd,https://www.netmeds.com/images/product-v1/150x150/409605/curegarden_omega_3_50_softgels_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/curegarden-omega-3-50-softgels-60-s,Rs. 641.52,Rs. 729.00,12% OFF,True
Snec30 Curcumin Capsules 60's,Mfr: Arbro Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/884750/snec30_curcumin_capsules_60s_0_1.jpg,https://www.netmeds.com/non-prescriptions/snec30-curcumin-capsules-60-s,"Rs. 1,254.00","Rs. 1,320.00",5% OFF,True
Curegarden Tri Low Vegetarian Capsules 60's,Mfr: Livlong Nutraceuticals Ltd,https://www.netmeds.com/images/product-v1/150x150/409603/curegarden_tri_low_vegetarian_capsules_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/curegarden-tri-low-60-vegetarian-capsules,Rs. 802.75,Rs. 845.00,5% OFF,True
Curegarden Daily Defense 60 Vegetarian Capsules,Mfr: Livlong Nutraceuticals Ltd,https://www.netmeds.com/images/product-v1/150x150/409600/curegarden_daily_defense_60_vegetarian_capsules_0.jpg,https://www.netmeds.com/non-prescriptions/curegarden-daily-defense-60-vegetarian-capsules,Rs. 850.50,Rs. 945.00,10% OFF,True
Curegarden Cardio Protect 60 Vegetarian Capsules,Mfr: Livlong Nutraceuticals Ltd,https://www.netmeds.com/images/product-v1/150x150/409601/curegarden_cardio_protect_60_vegetarian_capsules_0.jpg,https://www.netmeds.com/non-prescriptions/curegarden-cardio-protect-60-vegetarin-capsules,Rs. 621.00,Rs. 690.00,10% OFF,True
Glymed Lotion 100ml,Mfr: Med Manor Organics Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/802838/glymed_lotion_100ml_0.jpg,https://www.netmeds.com/prescriptions/glymed-lotion-100ml,Rs. 227.00,None,None,True
Renerve 24 Capsule 10'S,Mfr: Eris Lifesciences Ltd,https://www.netmeds.com/images/product-v1/150x150/409624/renerve_24_capsule_10_s_0.jpg,https://www.netmeds.com/prescriptions/renerve-24-capsule-10-s,Rs. 122.10,None,None,True
OH D3 Capsule 4'S,Mfr: Indoco Remedies Ltd,https://www.netmeds.com/images/product-v1/150x150/409641/oh_d3_capsule_4_s_0.jpg,https://www.netmeds.com/prescriptions/oh-d3-capsule-4-s,Rs. 118.32,None,None,True
Tufpro Suspension 10X5ml,Mfr: Sun Pharmaceutical Industries Ltd,https://www.netmeds.com/images/product-v1/150x150/327734/tufpro_suspension_10x5ml_0_0.jpg,https://www.netmeds.com/prescriptions/tufpro-suspension-10x5ml,Rs. 387.50,None,None,True
Multigates Syrup 200ml,Mfr: Gates India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/409662/multigates_syrup_200ml_0.jpg,https://www.netmeds.com/prescriptions/multigates-syrup-200ml,Rs. 280.00,None,None,True
Calcimax + Suspension 200ml,Mfr: Meyer Organics Ltd,https://www.netmeds.com/images/product-v1/150x150/409664/calcimax_suspension_200ml_0.jpg,https://www.netmeds.com/prescriptions/calcimax-suspension-200ml,Rs. 142.00,None,None,True
GOLDCAL K2 7 Capsule 10's,Mfr: Ronyd Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/901212/goldcal_k2_7_capsule_10s_0_0.jpg,https://www.netmeds.com/prescriptions/goldcal-k2-7-capsule-10s,Rs. 186.00,None,None,True
Semital Powder 500gm,Mfr: British Biologicals,https://www.netmeds.com/images/product-v1/150x150/802904/semital_powder_500gm_0_0.jpg,https://www.netmeds.com/prescriptions/semital-powder-500gm,Rs. 900.00,None,None,True
LAXHER Tablet 10's,Mfr: DEPSONS PHARMA,https://www.netmeds.com/images/product-v1/150x150/901208/laxher_tablet_10s_0_0.jpg,https://www.netmeds.com/prescriptions/laxher-tablet-10s,Rs. 50.00,None,None,True
