product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
Manforce Stay Long Gel 8 gm,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/412270/manforce_stay_long_gel_8_gm_0_1.jpg,https://www.netmeds.com/non-prescriptions/manforce-stay-long-gel-8gm,Rs. 95.00,Rs. 100.00,5% OFF,True
Essentium Phygen Vittum Royale Capsule 60's,Mfr: Eliph Nutrition Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/894037/essentium_vittum_royale_capsule_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/essentium-vittum-royale-capsule-60-s,"Rs. 1,189.15","Rs. 1,399.00",15% OFF,True
Sri Sri Tattva Shilajitvadi Lauha Vati 300 mg Tablet 60's,Mfr: Sriveda Sattva Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/824219/sri_sri_tattva_shilajitvadi_lauha_vati_300_mg_tablet_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/srisri-tattva-shilajitvadi-lauha-vati-300mg-tablet-60-s,Rs. 114.00,Rs. 120.00,5% OFF,True
Durex Condoms - Extra Thin 3's,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/822654/durex_condoms_extra_thin_3s_0_3.jpg,https://www.netmeds.com/non-prescriptions/durex-condoms-extra-thin-3-s,Rs. 64.80,Rs. 72.00,10% OFF,True
Durex Condoms - Extra Time 10's,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/822661/durex_condoms_extra_time_10s_0_2.jpg,https://www.netmeds.com/non-prescriptions/durex-condoms-extra-time-10-s,Rs. 195.30,Rs. 217.00,10% OFF,True
Durex Condoms - Extra Dots 3's,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/822656/durex_condoms_extra_dots_3s_0_1.jpg,https://www.netmeds.com/non-prescriptions/durex-condoms-extra-dots-3-s,Rs. 64.80,Rs. 72.00,10% OFF,True
Durex Condoms - Extra Dots 10's,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/822657/durex_condoms_extra_dots_10s_0_2.jpg,https://www.netmeds.com/non-prescriptions/durex-condoms-extra-dots-10-s,Rs. 195.30,Rs. 217.00,10% OFF,True
Durex Condoms - Extra Ribbed 3's,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/822658/durex_condoms_extra_ribbed_3s_0_1.jpg,https://www.netmeds.com/non-prescriptions/durex-condoms-extra-ribbed-3-s,Rs. 64.80,Rs. 72.00,10% OFF,True
Durex Condoms - Extra Ribbed 10's,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/822659/durex_condoms_extra_ribbed_10s_0_2.jpg,https://www.netmeds.com/non-prescriptions/durex-condoms-extra-ribbed-10-s,Rs. 195.30,Rs. 217.00,10% OFF,True
Cognicare Delicious Bubblegum Flavour Syrup 200ml,Mfr: Brio Bliss Life Science Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/411673/cognicare_syrup_200ml_0.jpg,https://www.netmeds.com/prescriptions/cognicare-syrup-200ml,"Rs. 1,080.00",None,None,True
Coedhea Forte Capsule 10'S,Mfr: Koye Pharmaceuticals Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/847916/coedhea_forte_capsule_10_s_0.jpg,https://www.netmeds.com/prescriptions/coedhea-forte-capsule-10-s,Rs. 508.00,None,None,True
Biohome Impocare Drops 30 ml,Mfr: Bio Home,https://www.netmeds.com/images/product-v1/150x150/831529/biohome_impocare_drops_30_ml_0.jpg,https://www.netmeds.com/non-prescriptions/biohome-impocare-drops-30-ml,Rs. 240.00,None,None,True
Biohome Fregni Tone Drops 30 ml,Mfr: Bio Home,https://www.netmeds.com/images/product-v1/150x150/831531/biohome_fregni_tone_drops_30_ml_0.jpg,https://www.netmeds.com/non-prescriptions/biohome-fregni-tone-drops-30-ml,Rs. 240.00,None,None,True
Invigra Delay Spray 12 gm,Mfr: Leads Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/825376/invigra_delay_spray_12_gm_0.jpg,https://www.netmeds.com/non-prescriptions/invigra-delay-spray-12-gm,Rs. 360.00,Rs. 450.00,20% OFF,True
Lyto Capsule 10'S,Mfr: Comed Chemicals Limited,https://www.netmeds.com/images/product-v1/150x150/104497/lyto_capsule_10_s_0.jpg,https://www.netmeds.com/prescriptions/lyto-capsule-10-s,Rs. 130.00,None,None,True
Biohome Salix Night Drops 30 ml,Mfr: Bio Home,https://www.netmeds.com/images/product-v1/150x150/831549/biohome_salix_night_drops_30_ml_0.jpg,https://www.netmeds.com/non-prescriptions/biohome-salix-night-drops-30-ml,Rs. 240.00,None,None,True
Biohome Lycoseg Drops 30 ml,Mfr: Bio Home,https://www.netmeds.com/images/product-v1/150x150/831540/biohome_lycoseg_drops_30_ml_0.jpg,https://www.netmeds.com/non-prescriptions/biohome-lycoseg-drops-30-ml,Rs. 240.00,None,None,True
